township,township_en,township_mm,township_code_en,township_code_mm,state_code,state_en,state_mm,wiki_township_mm,wiki_township_en
BHAMO,BHA MO,ဗန်းမော်,BAMANA,ဗမန,1,Kachin,ကချင်ပြည်နယ်,ဗန်းမော်,Bhamo
BILIN,BI LIN,ဘီလင်း,BALANA,ဘလန,10,Mon,မွန်ပြည်နယ်,ဘီးလင်း,Bi Lin
BOGALE,BO GA LE,ဘိုကလေး,BAKALA,ဘကလ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ဘိုကလေး,Bogale
BOTAHTAUNG,BO TA HTAUNG,ဗိုလ်တထောင်,BATAHTA,ဗတထ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဗိုလ်တထောင်,Botahtaung
BOKEPYIN,BOKE PYIN,ဘုတ်ပြင်း,BAPANA,ဘပန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ဘုတ်ပြင်း,Bokpyin
BUTALIN,BU TA LIN,ဘုတလင်,BATALA,ဘတလ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဘုတလင်,Budalin
BUTHIDAUNG,BU THI DAUNG,ဘူးသီးတောင်,BATHATA,ဘသတ,11,Rakhine,ရခိုင်ပြည်နယ်,ဘူးသီးတောင်,Buthidaung
CHANAYETHARZAN,CHAN AYE THAR ZAN,ချမ်းအေးသာဇံ,KHAAHZA,ခအဇ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ချမ်းအေးသာဇံ,Chanayethazan
CHANMYATHARZI,CHAN MYA THAR ZI,ချမ်းမြေ့သာစည်,KHAMASA,ခမစ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ချမ်းမြသာစည်,Chan Mya Thar Zi
CHAUK,CHAUK,ချောက်,KHAMANA,ခမန,8,Magway,မကွေးတိုင်းဒေသကြီး,ချောက်,Chauk
CHAUNGOO,CHAUNG OO,ချောင်းဦး,KHAOUTA,ခဥတ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ချောင်းဦး,Chaung-U
CHAUNGZON,CHAUNG ZON,ချောင်းဆုံ,KHASANA,ခဆန,10,Mon,မွန်ပြည်နယ်,ချောင်းဆုံ,Chaungzon
CHIPHWE,CHI PHWE,ချီဖွေ,KHAPHANA,ခဖန,1,Kachin,ကချင်ပြည်နယ်,ချီဖွေ,Chipwi
CHINSHWEHAW,CHIN SHWE HAW,ချင်းရွှေဟော်,KHAYAHA,ခရဟ,13,Shan,ရှမ်းပြည်နယ်,ချင်းရွှေဟော်,Chinshwehaw
CIKHA,CIKHA,ကျီခါး,KAKHANA,ကခန,4,Chin,ချင်းပြည်နယ်,ကျီခါး,Cikha
COCOGYUN,CO CO GYUN,ကိုကိုးကျွန်း,KAKAKA,ကကက,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ကိုကိုးကျွန်း,Cocokyun
DANUBYU,DA NU BYU,ဓနုဖြူ,DANAPHA,ဓနဖ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ဓနုဖြူ,Danubyu
DAWEI,DA WEI,ထားဝယ်,HTAWANA,ထဝန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ထားဝယ်,Dawei
DAGON,DAGON,ဒဂုံ,DAGANA,ဒဂန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဒဂုံ,Dagon
DAGONMYOTHIT(EAST),DAGON MYOTHIT(EAST),ဒဂုံမြို့သစ် (အရှေ့),DAGAYA,ဒဂရ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),Dagon Myothit(East)
DAGONMYOTHIT(SEIKKAN),DAGON MYOTHIT(SEIKKAN),ဒဂုံဆိပ်ကမ်း,DAGASA,ဒဂဆ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),Dagon Myothit(Seikkan)
DAIKU,DAIK U,ဒိုက်ဦး,DAOUNA,ဒဥန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ဒိုက်ဦး,Daik-U
DALA,DALA,ဒလ,DALANA,ဒလန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဒလ,Dala
DAWBON,DAW BON,ဒေါပုံ,DAPANA,ဒပန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဒေါပုံ,Dawbon
DAYDAYE,DAY DA YE,ဒေးဒရဲ,DADAYA,ဒဒရ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ဒေးဒရဲ,Dedaye
DEPAYIN,DE PA YIN,ဒီပဲယင်း,DAPAYA,ဒပယ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဒီပဲယင်း,Tabayin
DEKKHINATHIRI,DEK KHI NA THIRI,ဒက္ခိဏသီရိ,DAKHATHA,ဒခသ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ဒက္ခိဏသီရိ,Det Khi Na Thi Ri
DIMAWSO,DI MAW SO,ဒီမောဆိုး,DAMASA,ဒမဆ,2,Kayah,ကယားပြည်နယ်,ဒီးမော့ဆို,Di Maw So
KHAN TEE(UPPER),DON HEE,ဒုံဟီး,DAHANA,ဒဟန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဒုံဟီး,Don Hee
DOTPHONEYAN,DOT PHONE YAN,ဒေါ့ဖုန်းယန်,DAPHAYA,ဒဖယ,1,Kachin,ကချင်ပြည်နယ်,ဒေါ့ဖုန်းယန်,Dawthponeyan
EINME,EIN ME,အိမ်မဲ,AHMANA,အမန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,အိမ်မဲ,Einme
FALAM,FA LAM,ဖလမ်း,PHALANA,ဖလန,4,Chin,ချင်းပြည်နယ်,ဖလမ်း,Falam
GANGAW,GAN GAW,ဂန့်ဂေါ,GAGANA,ဂဂန,8,Magway,မကွေးတိုင်းဒေသကြီး,ဂန့်ဂေါ,Gangaw
GWA,GWA,ဂွ,GAMANA,ဂမန,11,Rakhine,ရခိုင်ပြည်နယ်,ဂွ,Gwa
GYOBINGAUK,GYO BIN GAUK,ကြို့ပင်ကောက်,KAPAKA,ကပက,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ကြို့ပင်ကောက်,Gyobingauk
HAINGGYIKYUN,HAING GYI KYUN,ဟိုင်းကြီးကျွန်း,HAKAKA,ဟကက,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ဟိုင်းကြီးကျွန်း,Hainggyikyun
HAKA,HAKA,ဟားခါး,HAKHANA,ဟခန,4,Chin,ချင်းပြည်နယ်,ဟားခါး,Hakha
