township,township_en,township_mm,township_code_en,township_code_mm,state_code,state_en,state_mm,wiki_township_mm,wiki_township_en
KYAUKPADAUNG,KYAUK PA DAUNG,ကျောက်ပန်းတောင်း,KAPATA,ကပတ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ကျောက်ပန်းတောင်း,Kyaukpadaung
KYAUKPYU,KYAUK PYU,ကျောက်ဖြူ,KAPHANA,ကဖန,11,Rakhine,ရခိုင်ပြည်နယ်,ကျောက်ဖြူ,Kyaukpyu
KYAUKSE,KYAUK SE,ကျောက်ဆည်,KASANA,ကဆန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ကျောက်ဆည်,Kyaukse
KYAUKTADA,KYAUK TA DA,ကျောက်တံတား,KATATA,ကတတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ကျောက်တံတား,Kyauktada
KYAUKTAGA,KYAUK TA GA,ကျောက်တံခါး,KATAKHA,ကတခ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ကျောက်တံခါး,Kyauktaga
KYAUKTALONGYI,KYAUK TA LON GYI,ကျောက်တလုံးကြီး,KATALA,ကတလ,13,Shan,ရှမ်းပြည်နယ်,ကျောက်တလုံးကြီး,Kyauktalonegyi
KYAUKTAN,KYAUK TAN,ကျောက်တန်း,KATANA,ကတန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ကျောက်တန်း,Kyauktan
KYAUKTAW,KYAUK TAW,ကျောက်တော်,KATANA,ကတန,11,Rakhine,ရခိုင်ပြည်နယ်,ကျောက်တော်,Kyauktaw
KYAUKMYAUNG-SAGAING,KYAUKMYAUNG-SAGAING,ကျောက်မြောင်း,KAMANA,ကမန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကျောက်မြောင်း,Kyauk Myaung
KYAUNGON,KYAUN GON,ကျောင်းကုန်း,KAKANA,ကကန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ကျောင်းကုန်း,Kyaunggon
KYEINTALI,KYEI NTA LI,ကျိန္တလီ,KATALA,ကတလ,11,Rakhine,ရခိုင်ပြည်နယ်,ကျိန္တလီ,Kyeintali
KYIMYINDINE,KYI MYIN DINE,ကြည့်မြင်တိုင်,KAMATA,ကမတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ကြည့်မြင်တိုင်,Kyeemyindaing
KYONPYAW,KYON PYAW,ကျုံပျော်,KAPANA,ကပန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ကျုံပျော်,Kyonpyaw
KYUNSU,KYUN SU,ကျွန်းစု,KASANA,ကစန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ကျွန်းစု,Kyunsu
KYUNHLA,KYUNHLA,ကျွန်းလှ,KALANA,ကလန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကျွန်းလှ,Kyunhla
LABUTTA,LA BUT TA,လပတ္တာ,LAPATA,လပတ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,လပွတ္တာ,La But Ta
LAMINE,LA MINE,လမိုင်း,LAMANA,လမန,10,Mon,မွန်ပြည်နယ်,လမိုင်း,Lamaing
LAHE,LAHE,လေဟေ,LAHANA,လဟန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,လဟယ်,Lahe
LANMADAW,LAN MA DAW,လမ်းမတော်,LAMATA,လမတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,လမ်းမတော်,Lanmadaw
LASHIO,LASHIO,လားရှိုး,LAYANA,လရန,13,Shan,ရှမ်းပြည်နယ်,လားရှိုး,Lashio
LATHA,LATHA,လသာ,LATHANA,လသန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,လသာ,Latha
LAUKINE,LAU KINE,လောက်ကိုင်,LAKANA,လကန,13,Shan,ရှမ်းပြည်နယ်,လောက်ကိုင်,Laukkaing
LAYMYETHNA,LAY MYETH NA,လေးမျက်နှာ,LAMANA,လမန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,လေးမျက်နှာ,Lemyethna
LECHAR,LE CHAR,လဲချား,LAKHANA,လခန,13,Shan,ရှမ်းပြည်နယ်,လဲချား,Laihka
LESHI,LE SHI,လေရှီး,LAYANA,လရန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,လေရှီး,Lay Shi
LEIKTHO,LEIKTHO,လိပ်သို,LATHANA,လသန,3,Kayin,ကရင်ပြည်နယ်,လိပ်သို,Leik Tho
LETPADAN,LET PA DAN,လက်ပံတန်း,LAPATA,လပတ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,လက်ပံတန်း,Letpadan
LEWE,LEWE,လယ်ဝေး,LAWANA,လဝန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,လယ်ဝေး,Lewe
LINKHE,LIN KHE,လင်ခေး,LAKHATA,လခတ,13,Shan,ရှမ်းပြည်နယ်,လင်းခေး,Lin Khe
LOIKAW,LOI KAW,လွိုင်ကော်,LAKANA,လကန,2,Kayah,ကယားပြည်နယ်,လွိုင်ကော်,Loikaw
LOILIN,LOILIN,လွိုင်လင်,LALANA,လလန,13,Shan,ရှမ်းပြည်နယ်,လွိုင်လင်,Loilen
LOUNGLON,LOUNG LON,လောင်းလုံ,LALANA,လလန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,လောင်းလုံး,Loung Lon
LWEGE,LWE GE,လွယ်ဂေ,LAGANA,လဂန,1,Kachin,ကချင်ပြည်နယ်,လွယ်ဂျယ်,Lwe Ge
MABANE,MA BANE,မဘိန်း,MABANA,မဘန,13,Shan,ရှမ်းပြည်နယ်,မဘိမ်း,Ma Bane
MACHANBAW,MA CHAN BAW,မချမ်းဘော,MAKHABA,မခဘ,1,Kachin,ကချင်ပြည်နယ်,မချမ်းဘော,Machanbaw
MADAYA,MA DA YA,မတ္တရာ,MATAYA,မတရ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,မတ္တရာ,Madaya
MADAUNK,MA DAUNK,မဒေါက်,MADANA,မဒန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,မဒေါက်,Madauk
MAGWAY,MA GWAY,မကွေး,MAKANA,မကန,8,Magway,မကွေးတိုင်းဒေသကြီး,မကွေး,Magway
MAHAAUNGMYE,MA HA AUNG MYE,မဟာအောင်မြေ,MAHAMA,မဟမ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,မဟာအောင်မြေ,Mahaaungmyay
MAHLAING,MA HLAING,မလှိုင်,MALANA,မလန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,မလှိုင်,Mahlaing
MATUPI,MA TU PI,မတူပီ,MATAPA,မတပ,4,Chin,ချင်းပြည်နယ်,မတူပီ,Matupi
MAUBIN,MA U BIN,မအူပင်,MAAHPA,မအပ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,မအူပင်,Maubin
MAEI,MAEI,မအီ,MAAHTA,မအတ,11,Rakhine,ရခိုင်ပြည်နယ်,မအီ,Ma-Ei
MAKMAN,MAK MAN,မက်မန်း,MAMANA,မမန,13,Shan,ရှမ်းပြည်နယ်,မက်မန်း,Matman
MANHERO,MAN HE RO,မဟီရိုး,MAHAYA,မဟရ,13,Shan,ရှမ်းပြည်နယ်,မန်ဟျိုး (မန်ဟီးရိုး),Man He Ro
MANPHANT,MAN PHANT,မန်ဖန့်,MAPHATA,မဖတ,13,Shan,ရှမ်းပြည်နယ်,မန်ဖန့်,Manhpant
MANSI,MAN SI,မံစီ,MASANA,မစန,1,Kachin,ကချင်ပြည်နယ်,မံစီ,Mansi
MANTON,MAN TON,မန်တုံ,MATATA,မတတ,13,Shan,ရှမ်းပြည်နယ်,မန်တုံ,Manton
MANKAN,MANKAN,မန္ကန္,MAKAHTA,မကထ,13,Shan,ရှမ်းပြည်နယ်,မန်ကန်,Mankan
MANNAUNG,MANN AUNG,မာန်အောင်,MAAHNA,မအန,11,Rakhine,ရခိုင်ပြည်နယ်,မာန်အောင်,Munaung
MAUKME,MAUK ME,မောက်မယ်,MAMANA,မမန,13,Shan,ရှမ်းပြည်နယ်,မောက်မယ်,Mawkmai
MAWHTIKE,MAW HTIKE,မော်ထိုက်,MAHTATA,မထတ,13,Shan,ရှမ်းပြည်နယ်,မော်ထိုက်,Maw Hteik
MAWLAMYINE,MAW LA MYINE,မော်လမြိုင်,MALAMA,မလမ,10,Mon,မွန်ပြည်နယ်,မော်လမြိုင်,Mawlamyine
MAWLAIK,MAWLAIK,မော်လိုက်,MALANA,မလန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,မော်လိုက်,Mawlaik
MAWLAMYINEGYUN,MAWLAMYINEGYUN,မော်လမြိုင်ကျွန်း,MAMAKA,မမက,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,မော်လမြိုင်ကျွန်း,Mawlamyinegyun
MAYANGON,MAYAN GON,မရမ်းကုန်း,MAYAKA,မရက,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,မရမ်းကုန်း,Mayangone
MEIKTILA,MEI KTI LA,မိတ္ထီလာ,MAHTALA,မထလ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,မိတ္ထီလာ,Meiktila
MEISI,MEISI,မယ်စီ,MASANA,မစန,2,Kayah,ကယားပြည်နယ်,မယ်စဲ,Meisi
MINBU,MIN BU,မင်းဘူး,MABANA,မဘန,8,Magway,မကွေးတိုင်းဒေသကြီး,မင်းဘူး,Minbu
MINBYA,MIN BYA,မင်းပြား,MAPANA,မပန,11,Rakhine,ရခိုင်ပြည်နယ်,မင်းပြား,Minbya
MINGALADON,MIN GA LA DON,မင်္ဂလာဒုံ,MAGADA,မဂဒ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,မင်္ဂလာဒုံ,Mingaladon
MINHLA-THAYAWADY,MIN HLA,မင်းလှ,MALANA,မလန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,မင်းလှ,Minhla
MINHLA-MAGWAY,MIN HLA-MAGWAY,မင်းလှ,MALANA,မလန,8,Magway,မကွေးတိုင်းဒေသကြီး,မင်းလှ,Minhla
MINKIN,MIN KIN,မင်းကင်း,MAKANA,မကန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,မင်းကင်း,Mingin
MINTONE,MIN TONE,မင်းတုန်း,MATANA,မတန,8,Magway,မကွေးတိုင်းဒေသကြီး,မင်းတုန်း,Mindon
MINDAT,MINDAT,မင်းတပ်,MATANA,မတန,4,Chin,ချင်းပြည်နယ်,မင်းတပ်,Mindat
MINE HTONE,MINE HTONE,မိုင်းထုံ,MAHTANA,မထန,13,Shan,ရှမ်းပြည်နယ်,မုံးထ,Mine Htone
MINEKAT,MINE KAT,မိုင်းခပ်,MAKHANA,မခန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းခတ်,Mine Kat
MINE KOKE,MINE KOKE,မိုင်းခုတ်,MAKHATA,မခတ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းခုတ်,Mongkhoke
MINEKOKE,MINE KOKE,မိုင်းကော,MAKANA,မကန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းကာ,Mine Koke
MINELAR,MINE LAR,မိုင်းလား,MALANA,မလန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းလား,Mongla
MINELON,MINE LON,မိုင်းလုံ,MALATA,မလတ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းလုံ,Monglon
MINEMAW,MINE MAW,မိုင်းမော,MAMAHTA,မမထ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းမော,Mong Maoe
MINENAUNG,MINE NAUNG,မိုင်းနောင်,MANATA,မနန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းနောင်,Mongnawng
MINENGAW,MINE NGAW,မိုင်းငေါ,MANGANA,မငန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းငေါ့,Mine Ngaw
MINEPAUK,MINE PAUK,မိုင်းပေါက်,MAPAHTA,မပထ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းပေါက်,Mong Pawk
MINEPHYAT,MINE PHYAT,မိုင်းဖြတ်,MAPHANA,မဖန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းဖြတ်,Monghpyak
MINEPYIN,MINE PYIN,မိုင်းပျင်,MAPATA,မပတ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းပျဉ်း,Mine Pyin
MINESAT,MINE SAT,မိုင်းဆတ်,MASANA,မဆန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းဆတ်,Monghsat
MINETONE,MINE TONE,မိုင်းတုံ,MATANA,မတန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းတုံ,Mongton
MINE YAL,MINE YAL,မိုင်းရယ်,MARATA,မရတ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းရယ်,Mongyai
MINEYAN,MINE YAN,မိုင်းယန်,MAYANA,မယန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းယန်း,Mine Yan
MINE YAUNG,MINE YAUNG,မိုင်းယောင်း,MAYAHTA,မယထ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းယောင်း,Mongyawng
MINEYAUNG,MINE YAUNG,မိုင်းယောင်း,MAYATA,မယတ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းယောင်း,Mongyawng
MINEYE,MINE YE,မိုင်းရယ်,MAYANA,မရန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းရယ်,Mongyai
MINEPAN,MINEPAN,မိုင်းပန်,MAPANA,မပန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းပန်,Mongpan
MINESAN-MONSAN,MINESAN-MONSAN,မိုင်းစံ,MASATA,မစတ,13,Shan,ရှမ်းပြည်နယ်,မိုင်းစံ (မုန်းဆန်း),Minesan-Monsan
MINESHU,MINESHU,မိုင်းရှူး,MAYANA,မရန,13,Shan,ရှမ်းပြည်နယ်,မိုင်းရှူး,Monghsu
MINGALATAUNGNYUNT,MINGALA TAUNG NYUNT,မင်္ဂလာ‌တောင်ညွန့်,MAGATA,မဂတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,မင်္ဂလာတောင်ညွန့်,Mingala Taung Nyunt
MINMU,MINMU,မြင်းမူ,MAMATA,မမတ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,မြင်းမူ,Myinmu
MOGAUNG,MO GAUNG,မိုးကောင်း,MAKATA,မကတ,1,Kachin,ကချင်ပြည်နယ်,မိုးကောင်း,Mogaung
MOMEIK,MO MEIK,မိုးမိတ်,MAMATA,မမတ,13,Shan,ရှမ်းပြည်နယ်,မိုးမိတ်,Mongmit
MOMAUK,MOE MAUK,မိုးမောက်,MAMANA,မမန,1,Kachin,ကချင်ပြည်နယ်,မိုးမောက်,Momauk
MOGOK,MOGOK,မိုးကုတ်,MAKANA,မကန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,မိုးကုတ်,Mogoke
MOHNYIN,MOH NYIN,မိုးညှင်း,MANYANA,မညန,1,Kachin,ကချင်ပြည်နယ်,မိုးညှင်း,Mohnyin
MONYWA,MON YWA,မုံရွာ,MAYANA,မရန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,မုံရွာ,Monywa
MONE,MONE,မိုးနဲ,MANANA,မနန,13,Shan,ရှမ်းပြည်နယ်,မိုးနဲ,Mongnai
MONEKOE,MONE KOE,မုန်းကိုး,MAKATA,မကတ,13,Shan,ရှမ်းပြည်နယ်,မုန်းကိုး,Monekoe
MONYO,MONYO,မိုးညို,MANYANA,မညန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,မိုးညို,Monyo
MOPINE LOOT,MOPINE LOOT,မိုပိုင်းလွတ်,MAPALA,မပလ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,မိုပိုင်းလွတ်,Mo Paing Lut
MUDON,MUDON,မုဒုံ,MADANA,မဒန,10,Mon,မွန်ပြည်နယ်,မုဒုံ,Mudon
MUSE,MUSE,မူဆယ်,MASATA,မဆတ,13,Shan,ရှမ်းပြည်နယ်,မူဆယ်,Muse
MYAWADY,MYA WA DY,မြဝတီ,MAWATA,မဝတ,3,Kayin,ကရင်ပြည်နယ်,မြဝတီ,Myawaddy
MYAING,MYAING,မြိုင်,MAMANA,မမန,8,Magway,မကွေးတိုင်းဒေသကြီး,မြိုင်,Myaing
MYANAUNG,MYAN AUNG,မြန်အောင်,MAAHNA,မအန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,မြန်အောင်,Myanaung
MYAUKU,MYAUK U,မြောက်ဦး,MAOUNA,မဥန,11,Rakhine,ရခိုင်ပြည်နယ်,မြောက်ဦး,Mrauk-U
MYAUNG,MYAUNG,မြောင်,MAMANA,မမန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,မြောင်,Myaung
MYAUNGMYA,MYAUNGMYA,မြောင်းမြ,MAMANA,မမန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,မြောင်းမြ,Myaungmya
MYEBON,MYE BON,မြေပုံ,MAPATA,မပတ,11,Rakhine,ရခိုင်ပြည်နယ်,မြေပုံ,Myebon
MYEIK,MYEIK,မြိတ်,MAMANA,မမန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,မြိတ်,Myeik
MYINGYAN,MYIN GYAN,မြင်းခြံ,MAKHANA,မခန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,မြင်းခြံ,Myingyan
MYITKYINA,MYIT KYI NA,မြစ်ကြီးနား,MAKANA,မကန,1,Kachin,ကချင်ပြည်နယ်,မြစ်ကြီးနား,Myitkyina
MYITTA,MYIT TA,မေတာ,MATANA,မတန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,မေတ္တာ,Myit Ta
MYITTHAR,MYIT THAR,မြစ်သား,MATHANA,မသန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,မြစ်သား,Myittha
MYOTHIT-MAGWAY,MYO THIT-MAGWAY,မြို့သစ်,MATHANA,မသန,8,Magway,မကွေးတိုင်းဒေသကြီး,မြို့သစ်,Myothit
MYOTHIT-SAGAING,MYO THIT-SAGAING,မြို့သစ်,MATHANA,မသန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,မြို့သစ်,Myothit
MYOHLAMYO,MYOHLAMYO,မြို့လှမြို့,MALANA,မလန,1,Kachin,ကချင်ပြည်နယ်,မြို့လှ,Myohlamyo
NAMTU,NA M TU,နမ္မတူ,NAMATA,နမတ,13,Shan,ရှမ်းပြည်နယ်,နမ္မတူ,Namtu
NAPHANG,NA PHANG,နားဖန့်,NAPHANA,နဖန,13,Shan,ရှမ်းပြည်နယ်,နားဖန်,Na Phang
NATOGYI,NA TO GYI,နွားထိုးကြီး,NAHTAKA,နထက,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,နွားထိုးကြီး,Natogyi
NAMKHAM,NAM KHAM,နန့်ခမ်း,NAKHANA,နခန,13,Shan,ရှမ်းပြည်နယ်,နမ့်ခမ်း,Nam Kham
NANYUN,NAN YUN,နန်းယွန်း,NAYANA,နယန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,နန်းယွန်း,Nanyun
NANHSAM-NORTH,NANHSAM-NORTH,နမ့်ဆန်,NAHSANA,နဆန,13,Shan,ရှမ်းပြည်နယ်,နမ့်ဆန်,Namhsan
NATMAUK,NAT MAUK,နတ်မောက်,NAMANA,နမန,8,Magway,မကွေးတိုင်းဒေသကြီး,နတ်မောက်,Natmauk
NATTALIN,NAT TA LIN,နတ်တလင်း,NATALA,နတလ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,နတ်တလင်း,Nattalin
NAUNGKHIO,NAUNG KHIO,နောင်ချို,NAKHATA,နခတ,13,Shan,ရှမ်းပြည်နယ်,နောင်ချို,Nawnghkio
NAUNGMOON,NAUNG MOON,နောင်မွန်း,NAMANA,နမန,1,Kachin,ကချင်ပြည်နယ်,နောင်မွန်း,Nawngmun
NAUNGTAYAR,NAUNG TA YAR,နောင်တရား,NATAYA,နတရ,13,Shan,ရှမ်းပြည်နယ်,နောင်တရား,Naungtayar
NGAPHAE,NGA PHAE,ငဖဲ,NGAPHANA,ငဖန,8,Magway,မကွေးတိုင်းဒေသကြီး,ငဖဲ,Ngape
NGAPUTAW,NGA PU TAW,ငပုတော,NGAPATA,ငပတ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ငပုတော,Ngapudaw
NGATHAYAUK,NGA THA YAUK,ငါးသရောက်,NGATHAYA,ငသရ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ငါ့သရောက်,Nga Tha Yauk
NGATHAINGCHAUNG,NGA THAING CHAUNG,ငါးသိုင်းချောင်း,NGATHAKHA,ငသခ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ငသိုင်းချောင်း,Nga Thaing Chaung
NGAZUN,NGAN ZUN,ငါန်းဇွန်,NGAZANA,ငဇန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ငါန်းဇွန်,Ngazun
NGAYOKAUNG,NGAYOKAUNG,ငရုတ်ကောင်း,NGAYAKA,ငရက,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ငရုတ်ကောင်း,Ngayokekaung
NGWEHSAUNG,NGWE HSAUNG,ငွေဆောင်,NGASANA,ငဆန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ငွေဆောင်,Ngwesaung
NORTHDAGON,NORTH DAGON,ဒဂုံမြို့သစ် (မြောက်),DAGAMA,ဒဂမ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),North Dagon
NORTHOKKALAPA,NORTH OKKALAPA,မြောက်ဥက္ကလာ,OUKAMA,ဥကမ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,မြောက်ဥက္ကလာပ,North Okkalapa
NYAUNGDON,NYAUNG DON,ညောင်တုန်း,NYATANA,ညတန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ညောင်တုန်း,Nyaungdon
NYAUNGLEBIN,NYAUNG LE BIN,ညောင်လေးပင်,NYALAPA,ညလပ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ညောင်လေးပင်,Nyaunglebin
NYAUNGSHWE,NYAUNG SHWE,ညောင်ရွှေ,NYAYANA,ညရန,13,Shan,ရှမ်းပြည်နယ်,ညောင်ရွှေ,Nyaungshwe
NYAUNGU,NYAUNG U,ညောင်ဦး,NYAOUNA,ညဥန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ညောင်ဦး,Nyaung-U
OATWIN,OA TWIN,အုတ်တွင်း,AHTANA,အတန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,အုတ်တွင်း,Oktwin
OKPO,OKPO,အုတ်ဖို,AHPHANA,အဖန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,အုတ်ဖို,Okpho
OTTARATHIRI,OT TA RA THIRI,ဥတ္တရသီရိ,AUTATHA,ဥတသ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ဥတ္တရသီရိ,Oke Ta Ra Thi Ri
PABEDAN,PA BE DAN,ပန်းဘဲတန်း,PABATA,ပဘတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ပန်းဘဲတန်း,Pabedan
PADAUNG,PA DAUNG,ပန်းတောင်း,PATANA,ပတန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပန်းတောင်း,Padaung
PAKOKKU,PA KOK KU,ပခုက္ကူ,PAKHAKA,ပခက,8,Magway,မကွေးတိုင်းဒေသကြီး,ပခုက္ကူ,Pakokku
PALAUK,PA LAUK,ပလောက်,PALATA,ပလတ,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ပလောက်,Palauk
PALETWA,PA LET WA,ပလက်ဝ,PALAWA,ပလဝ,4,Chin,ချင်းပြည်နယ်,ပလက်ဝ,Paletwa
PATHEINGYI,PA THEIN GYI,ပုသိမ်ကြီး,PATHAKA,ပသက,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ပုသိမ်ကြီး,Patheingyi
PAYARTHONEZU,PA YAR THONE ZU,ဘုရားသုံးဆူ,BATHASA,ဘသဆ,3,Kayin,ကရင်ပြည်နယ်,ဘုရားသုံးဆူ,Hpayarthonesu
PAZUNTAUNG,PA ZUN TAUNG,ပုဇွန်တောင်,PAZATA,ပဇတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ပုဇွန်တောင်,Pazundaung
PAENWEKONE,PAE NWE KONE,ပဲနွယ်ကုန်း,PANAKA,ပနက,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပဲနွယ်ကုန်း,Penwegon
PAINGKYON,PAING KYON,ပိုင်ကျုံး,PAKANA,ပကန,3,Kayin,ကရင်ပြည်နယ်,ပိုင်ကျုံ,Paing Kyon
PALAE,PALAE,ပုလဲ,PALANA,ပလန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ပုလဲ,Pale
PALAW,PALAW,ပုလော,PALANA,ပလန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ပုလော,Palaw
PANLON,PAN LON,ပန်းလောင်,PALATA,ပလတ,13,Shan,ရှမ်းပြည်နယ်,ပန်လုံ,Pan Lon
PAN LAUNG,PAN LONG,ပန်လုံ,PALAHTA,ပလထ,13,Shan,ရှမ်းပြည်နယ်,ပန်လုံ,Pan Lon
PANNANDIN,PAN NAN DIN,ပန်နန်းဒင်,PANADA,ပနဒ,1,Kachin,ကချင်ပြည်နယ်,ပန်နန်းဒင်,Pannandin
PANTANAW,PAN TA NAW,ပန်းတနော်,PATANA,ပတန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ပန်းတနော်,Pantanaw
PANWINE,PAN WINE,ပန်ဝိုင်း,PAWANA,ပဝန,13,Shan,ရှမ်းပြည်နယ်,ပန်ဝိုင်,Pan Wine
PANGLONG,PANG LONG,ပင်လုံ,PALANA,ပလန,13,Shan,ရှမ်းပြည်နယ်,ပင်လုံ,Pinlon
PANSAI,PANSAI(KYU KUTE),ပန်ဆိုင်း,PASATA,ပဆတ,13,Shan,ရှမ်းပြည်နယ်,ပန်ဆိုင်း (ကြူကုတ်),Pansai(Kyu Kute)
PANSAN-PANKHAM,PANSAN-PANKHAM,ပန်ဆန်း(PanKham),PASANA,ပဆန,13,Shan,ရှမ်းပြည်နယ်,ပန်ဆန်း (ပန်ခမ်း),Pansan-Pankham
PANSAUNG,PANSAUNG,ပန်ဆောင်း,PASANA,ပဆန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ပန်ဆောင်,Pansaung
PANWAR,PANWAR,ပန်ဝါ,PAWANA,ပ၀န,1,Kachin,ကချင်ပြည်နယ်,ပန်ဝါ,Pang War
PANYAN,PANYAN,ပန်ယန်း,PAYANA,ပယန,13,Shan,ရှမ်းပြည်နယ်,ပန်ယန်း,Pang Yang
PARSAUNG,PAR SAUNG,ဖားဆောင်း,PHASANA,ဖဆန,2,Kayah,ကယားပြည်နယ်,ဖားဆောင်း,Hpasawng
PAUK,PAUK,ပေါက်,PAMANA,ပမန,8,Magway,မကွေးတိုင်းဒေသကြီး,ပေါက်,Pauk
PAUKTAW,PAUK TAW,ပေါက်တော,PATANA,ပတန,11,Rakhine,ရခိုင်ပြည်နယ်,ပေါက်တော,Pauktaw
PAUKKHAUNG,PAUKKHAUNG,ပေါက်ခေါင်း,PAKHATA,ပခတ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပေါက်ခေါင်း,Paukkhaung
